Episode 1 Step 45: Training Loss nan, Return 10.0
Episode 2 Step 14: Training Loss nan, Return 10.0
Episode 3 Step 14: Training Loss nan, Return 10.0
Episode 4 Step 12: Training Loss nan, Return 10.0
Episode 5 Step 13: Training Loss nan, Return 10.0
Episode 6 Step 12: Training Loss nan, Return 10.0
Episode 7 Step 20: Training Loss nan, Return 8.0
Episode 8 Step 25: Training Loss nan, Return 8.0
Episode 9 Step 22: Training Loss nan, Return 9.0
Episode 10 Step 24: Training Loss nan, Return 10.0
Episode 11 Step 14: Training Loss nan, Return 9.0
Episode 12 Step 12: Training Loss nan, Return 9.0
Episode 13 Step 20: Training Loss nan, Return 8.0
D:\assignment4\DQN-CartPole-Cartpole\main.py:74: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  loss = torch.mean(torch.tensor(losses))
Episode 318 Step 268: Training Loss 0.09164528548717499, Return 275.0
Episode 319 Step 247: Training Loss 0.08279818296432495, Return 266.0
Episode 320 Step 263: Training Loss 0.08369521051645279, Return 257.0
Episode 321 Step 246: Training Loss 0.10333052277565002, Return 271.0
Episode 322 Step 260: Training Loss 0.10053399205207825, Return 252.0
Episode 323 Step 264: Training Loss 0.08788324147462845, Return 290.0
Episode 324 Step 256: Training Loss 0.08498722314834595, Return 272.0
Episode 325 Step 280: Training Loss 0.09422258287668228, Return 229.0
Episode 326 Step 253: Training Loss 0.08654923737049103, Return 293.0
Episode 327 Step 237: Training Loss 0.08410384505987167, Return 500.0
Episode 328 Step 208: Training Loss 0.07573210448026657, Return 240.0
Episode 329 Step 242: Training Loss 0.08337866514921188, Return 209.0
Episode 330 Step 215: Training Loss 0.09655237942934036, Return 199.0
Episode 331 Step 242: Training Loss 0.08431755751371384, Return 221.0
Episode 332 Step 265: Training Loss 0.09562834352254868, Return 281.0
Episode 333 Step 203: Training Loss 0.09274949878454208, Return 259.0
Episode 334 Step 218: Training Loss 0.093162901699543, Return 229.0
Episode 335 Step 16: Training Loss 0.11680550873279572, Return 237.0
Episode 336 Step 332: Training Loss 0.10103903710842133, Return 251.0
Episode 337 Step 279: Training Loss 0.10341896861791611, Return 92.0
Episode 338 Step 329: Training Loss 0.09451669454574585, Return 83.0
Episode 339 Step 89: Training Loss 0.0912621021270752, Return 283.0
Episode 340 Step 300: Training Loss 0.09401091188192368, Return 500.0
Episode 341 Step 379: Training Loss 0.09740378707647324, Return 269.0
Episode 342 Step 281: Training Loss 0.08364862203598022, Return 231.0
Episode 343 Step 345: Training Loss 0.08305738121271133, Return 500.0
Episode 344 Step 500: Training Loss 0.07995796203613281, Return 500.0
Episode 345 Step 500: Training Loss 0.09199045598506927, Return 500.0
